,강남구_주민등록인구 (명),강남구_순이동인구 (명),강남구_전출인구 (명),강남구_전입인구 (명),강남구_사망자수 (명),강남구_인구총조사 인구,강남구_평균연령,강남구_출생아수 (명),강남구_인구총조사 인구,강남구_합계출산율,강남구_등록외국인 현황 (명),강남구_이혼건수 (건),강남구_신혼부부수 (쌍),강남구_혼인건수 (건),강남구_조혼인율,강남구_조이혼율,강남구_스트레스인지율 (%),강남구_EQ-5D (점),강남구_주관적 건강수준인지율 (%),강남구_흡연율 (%),강남구_음주율 (%),강남구_고위험음주율 (%),강남구_미충족의료율 (%),강남구_인플루엔자 예방접종률 (%),강남구_건강생활실천율 (%),강남구_비만유병률 (%),강남구_학급당 학생수 (명),강남구_초등학교 교원수 (명),강남구_초등학교 학생수 (명),강남구_초등학교 수 (개),강남구_유치원 교원수 (명),강남구_유치원 원아수 (명),강남구_유치원 수 (개),강남구_도시지역면적 (㎡),강남구_주택수 (호),강남구_토지거래면적,강남구_친환경인증 축산물 출하량 (톤),강남구_종사자수 (명),강남구_친환경인증 농산물 출하량 (톤),강남구_가구수 (가구),강남구_서비스업 사업체수 (개),강남구_도소매업 종사자수 (명),강남구_도소매업 사업체수 (개),강남구_운수업 종사자수 (명),강남구_운수업 사업체수 (개),강남구_제조업 종사자수 (명),강남구_제조업 사업체수 (개),강남구_사업체수 (개),강남구_서비스업 사업체수(등록기반) (개),강남구_도소매업 종사자수(등록기반) (명),강남구_도소매업 사업체수(등록기반) (개),강남구_운수업 종사자수(등록기반) (명),강남구_운수업 사업체수(등록기반) (개),강남구_제조업 종사자수(등록기반) (명),강남구_제조업 사업체수(등록기반) (개),강남구_사업체수(등록기반) (개),강남구_화재발생건수 (건),강남구_하수도보급률 (%),강남구_폐수배출업소수 (개),강남구_인구십만명당 자살률 (십만명당),강남구_등록장애인수 (명)
2014,578114,11494,104412,115906,1848,-,-,4654,-,0.863,5332,899,-,3560,6.3,1.6,28.5,0.963,50.5,18.1,61.5,11.3,-,35.5,38.5,-,29.22,1475,22665,31,322,4042,40,39550000,-,1994,3033.1,-,139.31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,427,100,225,25.8,-
2015,576495,-5986,114523,108537,1751,541688,39.5,4595,541688,0.857,5265,852,14888,3380,6,1.5,38.5,0.953,48.7,19.8,62.1,15.7,-,31.8,40.5,-,28.59,1556,24007,33,331,4213,42,39550000,176654,1345,2621,-,80,214911,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,504,100,225,20.5,-
2016,567115,-13591,108949,95358,1780,532469,39.9,4122,532469,0.802,5025,867,13493,3032,5.4,1.5,33.7,0.961,54.3,17.4,64.4,13.9,-,35,38.2,-,28.06,1573,24190,33,347,4318,41,39550000,176135,1339,2933,-,120,212128,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,589,100,199,21.8,-
2017,556164,-12893,103367,90474,1756,522514,40.4,3456,522514,0.706,4888,805,12086,2677,4.9,1.5,26.7,0.965,56.3,17.5,65.3,11.2,-,36.1,48.4,-,27.3,1595,24371,33,334,4156,38,39497268,173282,1312,462,679047,64.6,210728,61740,133772,17274,11093,3092,14910,1707,72511,-,-,-,-,-,-,-,-,502,100,210,18,-
2018,542364,-15191,106802,91611,1796,507810,40.8,2940,507810,0.631,5089,758,10857,2519,4.7,1.4,32.5,0.964,42.8,19.9,65.2,15.7,-,36.2,40.1,28,26.07,1610,24858,33,336,4026,40,39497268,171431,2593,2819,694136,92.1,206323,60783,136778,16697,11236,3105,14296,1626,71373,-,-,-,-,-,-,-,-,436,100,193,22,-
2019,545169,1841,93716,95557,1838,509199,41.2,2749,509199,0.612,5040,772,10190,2338,4.4,1.5,30,0.963,48,15.8,64.4,13.6,3.3,38.7,45.1,29,25.45,1593,25484,33,313,3641,38,39497268,170444,906,2742.56,698840,99.83,209768,60480,143936,16401,11337,3193,16875,1650,71027,-,-,-,-,-,-,-,-,456,100,196,25,15439
2020,539231,-6257,101582,95325,1867,508135,41.5,2356,508135,0.537,4824,706,9267,2046,3.9,1.3,30.6,-,61.1,17.2,57.7,13.3,6.7,46.5,33.7,-,25.63,1611,25905,33,312,3260,37,39497268,173745,1151,2932.61,-,92.08,212582,-,-,-,-,-,-,-,-,98919,165267,28430,12650,3816,19449,3125,115054,387,100,195,23.6,15200
2021,533042,-4024,98106,94082,1920,503019,42.1,2204,503019,0.523,4758,737,8360,1680,3.2,1.4,31.9,-,58.3,12.3,56,7.7,5.2,46.7,41.6,-,25.9,1624,25829,33,299,2938,36,39497268,175536,1614,2896.8,-,31.35,214939,-,-,-,-,-,-,-,-,94001,157568,26299,12036,3708,19410,3027,110007,391,100,193,23.2,15182
2022,529102,-1503,76819,75316,2232,500149,42.7,1996,500149,0.49,5001,671,7860,1666,3.2,1.3,27.7,-,60.2,13.3,63,12.6,2.7,47.9,49.4,-,25.52,1690,25745,33,299,2780,37,39497452,178493,1892,3046.08,-,99.36,216165,-,-,-,-,-,-,-,-,91078,145535,24648,12560,4344,18501,2965,107804,437,100,-,24.3,15138
2023,544873,15585,82248,97833,-,-,-,-,-,-,-,573,-,1961,3.7,1.1,30.8,-,57.9,15.2,60,11.4,3.3,47.1,49.8,-,24.82,1723,25205,33,309,2849,37,-,-,402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,422,-,-,-,15416
