,강동구_주민등록인구 (명),강동구_순이동인구 (명),강동구_전출인구 (명),강동구_전입인구 (명),강동구_사망자수 (명),강동구_인구총조사 인구,강동구_평균연령,강동구_출생아수 (명),강동구_인구총조사 인구,강동구_합계출산율,강동구_등록외국인 현황 (명),강동구_이혼건수 (건),강동구_신혼부부수 (쌍),강동구_혼인건수 (건),강동구_조혼인율,강동구_조이혼율,강동구_스트레스인지율 (%),강동구_EQ-5D (점),강동구_주관적 건강수준인지율 (%),강동구_흡연율 (%),강동구_음주율 (%),강동구_고위험음주율 (%),강동구_미충족의료율 (%),강동구_인플루엔자 예방접종률 (%),강동구_건강생활실천율 (%),강동구_비만유병률 (%),강동구_학급당 학생수 (명),강동구_초등학교 교원수 (명),강동구_초등학교 학생수 (명),강동구_초등학교 수 (개),강동구_유치원 교원수 (명),강동구_유치원 원아수 (명),강동구_유치원 수 (개),강동구_도시지역면적 (㎡),강동구_주택수 (호),강동구_토지거래면적,강동구_종사자수 (명),강동구_친환경인증 농산물 출하량 (톤),강동구_가구수 (가구),강동구_서비스업 사업체수 (개),강동구_도소매업 종사자수 (명),강동구_도소매업 사업체수 (개),강동구_운수업 종사자수 (명),강동구_운수업 사업체수 (개),강동구_제조업 종사자수 (명),강동구_제조업 사업체수 (개),강동구_사업체수 (개),강동구_서비스업 사업체수(등록기반) (개),강동구_도소매업 종사자수(등록기반) (명),강동구_도소매업 사업체수(등록기반) (개),강동구_운수업 종사자수(등록기반) (명),강동구_운수업 사업체수(등록기반) (개),강동구_제조업 종사자수(등록기반) (명),강동구_제조업 사업체수(등록기반) (개),강동구_사업체수(등록기반) (개),강동구_화재발생건수 (건),강동구_하수도보급률 (%),강동구_폐수배출업소수 (개),강동구_인구십만명당 자살률 (십만명당),강동구_등록장애인수 (명)
2014,476597,-9163,75575,66412,1895,-,-,4089,-,1.039,4735,924,-,2977,6.3,1.9,33.4,0.947,44.8,18.9,63.1,16,-,41.3,38.3,-,26.64,1412,22170,26,304,4807,39,24580000,-,608,-,640.41,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240,100,145,29.1,-
2015,458658,-20474,94194,73720,1857,444385,40.5,3865,444385,1.036,4663,852,12696,2753,6,1.8,28.8,0.946,48.5,20.4,61.5,17.5,-,33.9,38.7,-,25.89,1424,21620,26,303,4698,37,24556203,119824,1366,-,497,167009,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,264,100,145,24.7,-
2016,444168,-16573,84535,67962,1791,429416,41.1,3293,429416,0.938,4303,806,11738,2399,5.4,1.8,31.3,0.942,44.8,19.5,65.1,13.8,-,34.7,32.8,-,25.21,1394,20448,26,295,4476,35,24556203,116063,3050,-,523,162679,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,311,100,131,23.4,-
2017,436223,-9204,90819,81615,1877,423978,41.6,2968,423978,0.884,4136,784,11441,2427,5.6,1.8,28.8,0.961,52,18.4,62.9,14.4,-,39.8,46.2,-,24.01,1442,20161,27,298,4506,35,24556203,120940,1759,146512,107.1,163351,20651,24610,6897,9738,5597,6508,1566,29952,-,-,-,-,-,-,-,-,269,100,127,21.4,-
2018,427573,-9599,68933,59334,1905,414231,42.2,2659,414231,0.82,4347,722,10675,2371,5.6,1.7,24.1,0.963,55.6,15.8,62.5,13,-,40.5,54.3,32,23.79,1334,19831,27,298,4309,35,24556203,122718,1013,145990,68.6,161943,20622,23937,6764,10140,5629,5191,1400,29772,-,-,-,-,-,-,-,-,324,100,116,25.8,-
2019,436067,7809,67292,75101,1898,415287,42.7,2437,415287,0.758,4323,767,10428,2129,5,1.8,23.1,0.958,51.8,19.3,60.7,18.5,5.9,42.3,38.4,30,22.61,1329,19622,27,273,3746,32,24556203,123014,1597,141770,182,165671,20402,23661,6425,9366,5417,4855,1292,29080,-,-,-,-,-,-,-,-,254,100,109,26.1,17669
2020,459970,23166,78271,101437,1901,444434,42.7,2535,444434,0.748,4028,747,11801,2433,5.5,1.7,28.4,-,56.4,15,54.9,10.1,4.4,46.2,35.5,-,22.45,1504,21353,28,310,4237,35,24556203,137876,2457,-,128.25,179794,-,-,-,-,-,-,-,-,30141,27341,11259,9088,4897,6373,1945,40978,221,100,99,21.7,18307
2021,462664,3439,74444,77883,2122,451099,43,2810,451099,0.797,3808,729,11920,1892,4.1,1.6,23.2,-,55.4,14.5,51.1,8.6,4.3,51.4,47.6,-,22.59,1527,22092,29,322,4205,36,24556203,146249,1416,-,105.19,188073,-,-,-,-,-,-,-,-,30405,28849,11576,9175,5442,4899,1911,41660,211,100,97,20,18614
2022,460067,-1327,56844,55517,2481,448655,43.7,2528,448655,0.719,3970,657,10502,1645,3.6,1.4,20.9,-,56,14.5,58.6,11.6,4.4,43.6,48.6,-,22.55,1550,22023,29,320,3932,35,24556203,148323,629,-,86.15,190304,-,-,-,-,-,-,-,-,31019,28263,12112,10442,6418,4865,1885,43157,194,100,-,22.5,18687
2023,459167,-780,56980,56200,-,-,-,-,-,-,-,627,-,1683,3.7,1.4,23.2,-,54.9,17.3,55.3,15,4,43.3,49.7,-,22.75,1550,21736,29,337,3749,33,-,-,1121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,171,-,-,-,18771
