,강북구_주민등록인구 (명),강북구_순이동인구 (명),강북구_전출인구 (명),강북구_전입인구 (명),강북구_사망자수 (명),강북구_인구총조사 인구,강북구_평균연령,강북구_출생아수 (명),강북구_인구총조사 인구,강북구_합계출산율,강북구_등록외국인 현황 (명),강북구_이혼건수 (건),강북구_신혼부부수 (쌍),강북구_혼인건수 (건),강북구_조혼인율,강북구_조이혼율,강북구_스트레스인지율 (%),강북구_EQ-5D (점),강북구_주관적 건강수준인지율 (%),강북구_흡연율 (%),강북구_음주율 (%),강북구_고위험음주율 (%),강북구_미충족의료율 (%),강북구_인플루엔자 예방접종률 (%),강북구_건강생활실천율 (%),강북구_비만유병률 (%),강북구_학급당 학생수 (명),강북구_초등학교 교원수 (명),강북구_초등학교 학생수 (명),강북구_초등학교 수 (개),강북구_유치원 교원수 (명),강북구_유치원 원아수 (명),강북구_유치원 수 (개),강북구_도시지역면적 (㎡),강북구_주택수 (호),강북구_토지거래면적,강북구_종사자수 (명),강북구_가구수 (가구),강북구_서비스업 사업체수 (개),강북구_도소매업 종사자수 (명),강북구_도소매업 사업체수 (개),강북구_운수업 종사자수 (명),강북구_운수업 사업체수 (개),강북구_제조업 종사자수 (명),강북구_제조업 사업체수 (개),강북구_사업체수 (개),강북구_서비스업 사업체수(등록기반) (개),강북구_도소매업 종사자수(등록기반) (명),강북구_도소매업 사업체수(등록기반) (개),강북구_운수업 종사자수(등록기반) (명),강북구_운수업 사업체수(등록기반) (개),강북구_제조업 종사자수(등록기반) (명),강북구_제조업 사업체수(등록기반) (개),강북구_사업체수(등록기반) (개),강북구_화재발생건수 (건),강북구_하수도보급률 (%),강북구_폐수배출업소수 (개),강북구_인구십만명당 자살률 (십만명당),강북구_등록장애인수 (명)
2014,335025,-4417,52641,48224,1747,-,-,2360,-,0.955,3385,831,-,1819,5.5,2.5,32.7,0.933,41,27.2,60.9,23.1,-,34.8,35.1,-,27.37,793,12402,14,164,2182,24,23580000,-,406,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,189,100,57,30.5,-
2015,330873,-4749,52240,47491,1854,319992,42.7,2164,319992,0.922,3553,738,8116,1715,5.2,2.3,33.7,0.938,48,24.1,60.1,16.6,-,33.4,39.8,-,26.58,795,11879,14,155,2103,22,23635959,91806,787,-,127462,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178,100,57,30.6,-
2016,327195,-4156,48947,44791,1845,316212,43.3,1965,316212,0.878,3509,722,7571,1500,4.6,2.2,30.8,0.95,43,21.5,63.5,19.2,-,36.2,30.4,-,25.38,761,11225,14,171,2105,24,23635959,93623,501,-,127371,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,170,100,59,30.6,-
2017,324479,-2578,44809,42231,1873,313698,43.9,1772,313698,0.825,3523,742,7070,1436,4.5,2.3,31.7,0.943,38.6,24.5,64.4,21.2,-,38,34.2,-,24.84,729,10878,14,166,1887,23,23636019,94526,457,71752,129204,12854,10768,3857,6822,3192,6621,1541,18928,-,-,-,-,-,-,-,-,186,100,68,26.3,-
2018,319164,-4859,45800,40941,1960,309138,44.5,1344,309138,0.647,3751,710,6432,1344,4.3,2.2,31,0.951,40.4,25.7,60.7,20.8,-,34.6,41.1,31.3,23.86,736,10654,14,147,1692,23,23636019,95097,964,72418,129610,12898,10625,3768,6625,3218,5903,1444,18918,-,-,-,-,-,-,-,-,203,100,55,27.2,-
2019,313954,-4576,42622,38046,1874,303871,45.2,1227,303871,0.617,3741,697,5945,1260,4.1,2.2,27,0.939,42.1,21.7,62.1,22.4,5.2,38.4,41.7,29.1,23.12,708,10392,14,125,1376,21,23636019,97070,423,73904,130161,13063,10726,3823,6305,3108,5864,1456,19014,-,-,-,-,-,-,-,-,167,100,56,23.2,17517
2020,308055,-5031,46656,41625,1968,299535,45.8,1049,299535,0.55,3514,700,5442,1041,3.4,2.3,35.1,-,59.6,19.7,55.2,17.8,3.3,47,37.2,-,22.64,703,9913,14,119,1244,18,23636019,97452,483,-,131884,-,-,-,-,-,-,-,-,19030,12887,6967,6219,2994,6363,2095,26711,186,100,56,26.5,17441
2021,299182,-5904,42961,37057,2036,292611,46.6,994,292611,0.541,3381,627,4858,891,3,2.1,29,-,48.1,18.1,58.7,18.5,3.6,47.8,40,-,22.34,689,9412,14,129,1199,20,23636019,97840,465,-,132458,-,-,-,-,-,-,-,-,18673,12912,6807,6203,3102,5979,2067,26385,146,100,57,25.1,17395
2022,293660,-3121,34364,31243,2368,287788,47.2,855,287788,0.483,4042,563,4261,838,2.9,1.9,23.5,-,56.7,21.5,60.3,20.3,3.1,47.8,40.4,-,21.69,674,8895,14,124,1193,17,23636019,99477,259,-,133870,-,-,-,-,-,-,-,-,18241,12155,6545,6639,3316,5770,2038,26114,155,100,-,26.6,17177
2023,288113,-4050,32802,28752,-,-,-,-,-,-,-,499,-,844,2.9,1.7,28.7,-,54.5,22.3,62.6,23.1,4.9,46.8,42.6,-,21.75,658,8513,14,130,1227,17,-,-,156,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,200,-,-,-,16974
