,관악구_주민등록인구 (명),관악구_순이동인구 (명),관악구_전출인구 (명),관악구_전입인구 (명),관악구_사망자수 (명),관악구_인구총조사 인구,관악구_평균연령,관악구_출생아수 (명),관악구_인구총조사 인구,관악구_합계출산율,관악구_등록외국인 현황 (명),관악구_이혼건수 (건),관악구_신혼부부수 (쌍),관악구_혼인건수 (건),관악구_조혼인율,관악구_조이혼율,관악구_스트레스인지율 (%),관악구_EQ-5D (점),관악구_주관적 건강수준인지율 (%),관악구_흡연율 (%),관악구_음주율 (%),관악구_고위험음주율 (%),관악구_미충족의료율 (%),관악구_인플루엔자 예방접종률 (%),관악구_건강생활실천율 (%),관악구_비만유병률 (%),관악구_학급당 학생수 (명),관악구_초등학교 교원수 (명),관악구_초등학교 학생수 (명),관악구_초등학교 수 (개),관악구_유치원 교원수 (명),관악구_유치원 원아수 (명),관악구_유치원 수 (개),관악구_도시지역면적 (㎡),관악구_주택수 (호),관악구_토지거래면적,관악구_친환경인증 축산물 출하량 (톤),관악구_종사자수 (명),관악구_친환경인증 농산물 출하량 (톤),관악구_가구수 (가구),관악구_서비스업 사업체수 (개),관악구_도소매업 종사자수 (명),관악구_도소매업 사업체수 (개),관악구_운수업 종사자수 (명),관악구_운수업 사업체수 (개),관악구_제조업 종사자수 (명),관악구_제조업 사업체수 (개),관악구_사업체수 (개),관악구_서비스업 사업체수(등록기반) (개),관악구_도소매업 종사자수(등록기반) (명),관악구_도소매업 사업체수(등록기반) (개),관악구_운수업 종사자수(등록기반) (명),관악구_운수업 사업체수(등록기반) (개),관악구_제조업 종사자수(등록기반) (명),관악구_제조업 사업체수(등록기반) (개),관악구_사업체수(등록기반) (개),관악구_화재발생건수 (건),관악구_하수도보급률 (%),관악구_폐수배출업소수 (개),관악구_인구십만명당 자살률 (십만명당),관악구_등록장애인수 (명)
2014,513186,-7195,98182,90987,2057,-,-,4071,-,0.834,18774,1005,-,3949,7.8,2,34.8,0.944,43.2,20.2,61.7,17.5,-,33.7,44.7,-,25.94,1224,18364,22,324,4413,36,29570000,-,655,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262,100,57,30.5,-
2015,509663,-6134,100724,94590,2008,519622,40.4,3960,519622,0.833,19368,896,15047,3859,7.7,1.8,29.9,0.951,45.1,23.7,64.8,18.2,-,33.9,39,-,25.26,1227,17747,22,334,4549,36,29570000,121277,878,90,-,3,238744,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,285,100,57,23.6,-
2016,506851,-4981,96179,91198,2137,515648,40.7,3561,515648,0.777,18756,926,14097,3537,7.1,1.9,32.4,0.95,41.8,22.5,61,14.2,-,28,46.6,-,24.25,1198,16883,22,324,4385,36,29570000,123911,747,-,-,-,241003,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,314,100,57,27.8,-
2017,503297,-4640,94943,90303,2068,511222,41.2,2931,511222,0.662,17632,817,13155,3205,6.4,1.6,27.2,0.96,55.8,20.7,62.7,15.7,-,34.5,52.5,-,23.52,1170,16227,22,323,4147,35,29563482,124170,1465,-,115390,-,242972,19087,16347,5164,6609,4089,5480,1350,26374,-,-,-,-,-,-,-,-,286,100,57,23.3,-
2018,501957,-2074,96477,94403,2179,510303,41.5,2582,510303,0.597,18083,856,12277,3090,6.2,1.7,25.3,0.963,48.6,23.5,63.2,17.9,-,37.1,48.1,25.7,22.69,1147,15768,22,301,3830,36,29563482,125148,560,159,113944,-,247871,18805,15166,4991,6515,4218,4975,1255,26105,-,-,-,-,-,-,-,-,337,100,62,25.1,-
2019,500094,-2205,95788,93583,2107,507828,41.9,2245,507828,0.536,17240,875,11074,2802,5.7,1.8,27.7,0.953,40.3,18.8,60,13.8,6.3,37.3,45.8,35.1,21.79,1105,15246,22,270,3252,33,29563482,126526,551,49.6,115329,-,253139,19063,15299,5047,5480,3414,4492,1185,25505,-,-,-,-,-,-,-,-,311,100,62,24.7,20299
2020,495060,-4925,103226,98301,2209,502641,42.3,1905,502641,0.474,14743,769,9955,2529,5.2,1.6,32.2,-,60.7,16.5,52.6,13.4,3.4,40.9,41.3,-,21.05,1067,14410,22,268,2991,33,29563482,127568,678,54.36,-,-,259822,-,-,-,-,-,-,-,-,28855,18286,9444,6047,4050,5413,1976,38639,219,100,53,29.2,20265
2021,485699,-5955,95711,89756,2481,495777,42.7,1707,495777,0.437,13750,741,8699,2110,4.4,1.5,23.8,-,52.3,17.6,56,15.2,2.8,46.6,43.1,-,20.93,1044,13550,22,263,2682,32,29563482,127783,1228,1086.72,-,9.2,263380,-,-,-,-,-,-,-,-,27939,17796,8953,6446,4490,4949,1901,37915,259,100,48,30.2,20211
2022,486752,3452,83760,87212,2723,496743,43,1615,496743,0.422,14474,673,7933,1981,4.1,1.4,30.9,-,60.5,18.2,55.2,14.1,3.3,41.2,41.8,-,20.45,1010,12975,22,254,2375,31,29563482,129778,774,1248.15,-,10.4,271474,-,-,-,-,-,-,-,-,26913,16467,8274,6439,4667,4556,1791,36814,305,100,-,24.7,20226
2023,481956,-3705,81728,78023,-,-,-,-,-,-,-,657,-,1951,4.1,1.4,28.1,-,59.3,20.7,55.3,13.2,4.5,41.5,45.1,-,20.29,974,12197,22,250,2165,31,-,-,361,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,281,-,-,-,20112
