,동대문구_주민등록인구 (명),동대문구_순이동인구 (명),동대문구_전출인구 (명),동대문구_전입인구 (명),동대문구_사망자수 (명),동대문구_인구총조사 인구,동대문구_평균연령,동대문구_출생아수 (명),동대문구_인구총조사 인구,동대문구_합계출산율,동대문구_등록외국인 현황 (명),동대문구_이혼건수 (건),동대문구_신혼부부수 (쌍),동대문구_혼인건수 (건),동대문구_조혼인율,동대문구_조이혼율,동대문구_스트레스인지율 (%),동대문구_EQ-5D (점),동대문구_주관적 건강수준인지율 (%),동대문구_흡연율 (%),동대문구_음주율 (%),동대문구_고위험음주율 (%),동대문구_미충족의료율 (%),동대문구_인플루엔자 예방접종률 (%),동대문구_건강생활실천율 (%),동대문구_비만유병률 (%),동대문구_학급당 학생수 (명),동대문구_초등학교 교원수 (명),동대문구_초등학교 학생수 (명),동대문구_초등학교 수 (개),동대문구_유치원 교원수 (명),동대문구_유치원 원아수 (명),동대문구_유치원 수 (개),동대문구_도시지역면적 (㎡),동대문구_주택수 (호),동대문구_토지거래면적,동대문구_종사자수 (명),동대문구_친환경인증 농산물 출하량 (톤),동대문구_가구수 (가구),동대문구_서비스업 사업체수 (개),동대문구_도소매업 종사자수 (명),동대문구_도소매업 사업체수 (개),동대문구_운수업 종사자수 (명),동대문구_운수업 사업체수 (개),동대문구_제조업 종사자수 (명),동대문구_제조업 사업체수 (개),동대문구_사업체수 (개),동대문구_서비스업 사업체수(등록기반) (개),동대문구_도소매업 종사자수(등록기반) (명),동대문구_도소매업 사업체수(등록기반) (개),동대문구_운수업 종사자수(등록기반) (명),동대문구_운수업 사업체수(등록기반) (개),동대문구_제조업 종사자수(등록기반) (명),동대문구_제조업 사업체수(등록기반) (개),동대문구_사업체수(등록기반) (개),동대문구_화재발생건수 (건),동대문구_하수도보급률 (%),동대문구_폐수배출업소수 (개),동대문구_인구십만명당 자살률 (십만명당),동대문구_등록장애인수 (명)
2014,363687,-1743,59658,57915,1831,-,-,2634,-,0.914,12632,770,-,2123,5.9,2.2,30.6,0.947,45.7,22.3,64.8,20.6,-,37.4,48.3,-,25.87,976,15110,21,264,3368,33,14625893,-,599,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,221,100,66,29.6,-
2015,360153,-4927,60917,55990,1833,364787,41,2687,364787,0.96,13671,714,9580,2159,6.1,2,30.8,0.957,47.4,19.6,69.7,21.5,-,38.9,46.6,-,25.51,975,14916,21,267,3437,33,14626119,98203,680,-,-,153362,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,223,100,66,28.4,-
2016,355069,-6031,55622,49591,1921,359935,41.4,2383,359935,0.889,15243,666,9020,1796,5.1,1.9,27.6,0.963,45.8,21.6,66.7,17.9,-,33.3,46.9,-,24.75,951,14212,21,262,3388,32,14626119,96464,687,-,2,152538,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,236,100,71,25.9,-
2017,350647,-4834,52733,47899,1780,357380,41.8,2117,357380,0.822,15364,624,8391,1657,4.8,1.8,31.5,0.954,41.9,24.2,66.3,22.3,-,36.3,38.6,-,24.13,938,13930,21,262,3249,32,14245433,97891,929,142842,0.8,153187,23412,31474,11272,6889,3602,14237,3539,32411,-,-,-,-,-,-,-,-,200,100,69,18.5,-
2018,348052,-2706,57605,54899,1895,358141,42.1,1886,358141,0.753,16286,660,8256,1747,5.1,1.9,28,0.979,35.8,18.8,61.4,19.8,-,37.1,47.6,25.6,22.81,968,13721,21,271,3162,33,14245433,100802,827,140748,1.4,155542,23135,31318,10923,6562,3617,13543,3297,31878,-,-,-,-,-,-,-,-,203,100,64,25.4,-
2019,346194,-2000,53660,51660,1851,355094,42.5,1884,355094,0.765,16829,692,7938,1613,4.7,2,32.5,0.96,39.4,19.1,63.7,26.9,6.6,38.3,34.5,35,22.14,937,13684,21,264,3065,31,14245433,104821,607,138400,45.26,157662,22871,30950,10599,6520,3523,12956,3146,31324,-,-,-,-,-,-,-,-,195,100,58,22.9,15871
2020,342837,-3227,58135,54908,1911,351057,42.9,1702,351057,0.699,14177,570,7484,1524,4.5,1.7,26.2,-,59.7,17,53.8,14.2,1.9,42,41.8,-,21.68,932,13157,21,245,2849,29,14251163,103520,616,-,-,158899,-,-,-,-,-,-,-,-,30764,34882,15223,6199,3762,13827,4036,43029,152,100,60,26.6,15701
2021,337400,-2076,51031,48955,2061,348201,43.2,1585,348201,0.66,14606,555,6852,1228,3.7,1.7,23.1,-,43.6,17.5,56.3,12.4,2.6,48.5,44.5,-,22,911,12792,21,236,2596,28,14251236,104287,443,-,-,162315,-,-,-,-,-,-,-,-,30347,33547,14774,6435,3956,12870,3922,42813,155,100,60,26.6,15518
2022,336644,1166,43365,44531,2293,350709,43.4,1475,350709,0.62,16957,479,6333,1201,3.6,1.4,19.3,-,50.3,13.6,58.8,15.9,0.4,43.2,51.4,-,21.76,926,12839,21,237,2474,28,14251806,106441,264,-,0.39,166787,-,-,-,-,-,-,-,-,29742,31849,14283,6643,4203,12401,3874,42491,173,100,-,24.8,15451
2023,341149,5370,45202,50572,-,-,-,-,-,-,-,415,-,1317,3.9,1.2,25,-,45.8,17,62.2,16,1.5,43.8,45.9,-,21.67,929,12701,21,237,2375,27,-,-,473,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,158,-,-,-,15425
