,동작구_주민등록인구 (명),동작구_순이동인구 (명),동작구_전출인구 (명),동작구_전입인구 (명),동작구_사망자수 (명),동작구_인구총조사 인구,동작구_평균연령,동작구_출생아수 (명),동작구_인구총조사 인구,동작구_합계출산율,동작구_등록외국인 현황 (명),동작구_이혼건수 (건),동작구_신혼부부수 (쌍),동작구_혼인건수 (건),동작구_조혼인율,동작구_조이혼율,동작구_스트레스인지율 (%),동작구_EQ-5D (점),동작구_주관적 건강수준인지율 (%),동작구_흡연율 (%),동작구_음주율 (%),동작구_고위험음주율 (%),동작구_미충족의료율 (%),동작구_인플루엔자 예방접종률 (%),동작구_건강생활실천율 (%),동작구_비만유병률 (%),동작구_학급당 학생수 (명),동작구_초등학교 교원수 (명),동작구_초등학교 학생수 (명),동작구_초등학교 수 (개),동작구_유치원 교원수 (명),동작구_유치원 원아수 (명),동작구_유치원 수 (개),동작구_도시지역면적 (㎡),동작구_주택수 (호),동작구_토지거래면적,동작구_종사자수 (명),동작구_친환경인증 농산물 출하량 (톤),동작구_가구수 (가구),동작구_서비스업 사업체수 (개),동작구_도소매업 종사자수 (명),동작구_도소매업 사업체수 (개),동작구_운수업 종사자수 (명),동작구_운수업 사업체수 (개),동작구_제조업 종사자수 (명),동작구_제조업 사업체수 (개),동작구_사업체수 (개),동작구_서비스업 사업체수(등록기반) (개),동작구_도소매업 종사자수(등록기반) (명),동작구_도소매업 사업체수(등록기반) (개),동작구_운수업 종사자수(등록기반) (명),동작구_운수업 사업체수(등록기반) (개),동작구_제조업 종사자수(등록기반) (명),동작구_제조업 사업체수(등록기반) (개),동작구_사업체수(등록기반) (개),동작구_화재발생건수 (건),동작구_하수도보급률 (%),동작구_폐수배출업소수 (개),동작구_인구십만명당 자살률 (십만명당),동작구_등록장애인수 (명)
2014,407470,-5826,69117,63291,1564,-,-,3765,-,1.007,11791,715,-,2962,7.3,1.8,27.6,0.942,43.3,20.5,63.6,13.4,-,33.5,40.2,-,26.88,1110,17916,21,299,3693,34,16345101,-,576,-,29.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178,100,35,22.5,-
2015,400641,-9402,76096,66694,1677,407894,40.4,3643,407894,1.012,12133,632,12763,2855,7.2,1.6,33.6,0.946,41.6,18.6,63,17.6,-,32,45,-,26.23,1115,17474,21,285,3706,34,16387882,109362,1275,-,31,166706,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,185,100,35,23.1,-
2016,400997,-1818,68243,66425,1667,404076,40.9,3184,404076,0.912,12250,590,12008,2514,6.4,1.5,33.2,0.958,48.8,19.2,64.7,13.7,-,35.1,47.4,-,25.51,1099,16887,21,304,3684,34,16387882,111438,1179,-,102,165785,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215,100,35,22.5,-
2017,396217,-6029,66978,60949,1641,400236,41.3,2814,400236,0.831,12276,598,11140,2282,5.8,1.5,29.3,0.954,45.7,18.2,62.2,15.4,-,38.4,47.8,-,24.99,1075,16698,21,301,3620,34,16387882,111548,740,110422,48.6,166520,15687,14990,4689,3290,2115,2228,651,19966,-,-,-,-,-,-,-,-,222,100,39,18.6,-
2018,396203,-1006,66105,65099,1720,397980,41.7,2417,397980,0.737,13182,562,10089,2097,5.4,1.4,36.1,0.946,32,18.4,63,16.2,-,39.6,50,31.8,24.03,1094,16366,21,289,3490,37,16387882,112032,774,112564,69.1,168420,15646,14773,4564,3124,2136,2059,614,19916,-,-,-,-,-,-,-,-,205,100,27,21.8,-
2019,395963,-879,62047,61168,1703,400368,42.1,2227,400368,0.697,12949,557,9651,2057,5.3,1.4,23.1,0.955,49.7,16.8,58.3,16.1,4.7,45.9,49.5,29.6,23.56,1060,16257,21,258,3113,34,16387882,115075,558,106159,65.12,172323,15447,14001,4285,3644,2231,2095,596,19793,-,-,-,-,-,-,-,-,208,100,37,17.9,14735
2020,391220,-5154,69650,64496,1770,392772,42.7,2044,392772,0.655,10352,611,8804,1906,4.9,1.6,26.8,-,61.6,15,57.3,14,4.2,44.5,36.7,-,22.96,1045,15553,21,248,2846,32,16387882,115615,746,-,8.81,174572,-,-,-,-,-,-,-,-,22653,16876,7817,3299,2189,2442,976,28505,151,100,35,24.2,14607
2021,385483,-4054,68311,64257,1890,388094,43.2,1831,388094,0.602,8881,493,7960,1568,4.1,1.3,26.7,-,54.8,13.4,50,10.2,3.3,48.8,41,-,22.85,1053,15174,21,239,2661,31,16387882,119534,561,-,10.53,176665,-,-,-,-,-,-,-,-,22060,15553,7490,3343,2250,2088,931,27915,129,100,37,19.6,14417
2022,380596,-3248,56607,53359,2165,386605,43.5,1696,386605,0.567,9836,459,7276,1481,3.9,1.2,23.5,-,63,14,57.5,16.5,2.4,43.9,44.7,-,22.17,1054,14872,21,247,2616,31,16387883,120374,423,-,18.96,179771,-,-,-,-,-,-,-,-,21363,14969,7122,3507,2260,2022,900,27120,187,100,-,18.2,14298
2023,378769,-1555,55848,54293,-,-,-,-,-,-,-,401,-,1533,4.1,1.1,28.1,-,59.3,18.3,63.2,17.6,5.7,50,51.8,-,21.66,1039,14265,21,236,2348,30,-,-,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,167,-,-,-,14168
