,서대문구_주민등록인구 (명),서대문구_순이동인구 (명),서대문구_전출인구 (명),서대문구_전입인구 (명),서대문구_사망자수 (명),서대문구_인구총조사 인구,서대문구_평균연령,서대문구_출생아수 (명),서대문구_인구총조사 인구,서대문구_합계출산율,서대문구_등록외국인 현황 (명),서대문구_이혼건수 (건),서대문구_신혼부부수 (쌍),서대문구_혼인건수 (건),서대문구_조혼인율,서대문구_조이혼율,서대문구_스트레스인지율 (%),서대문구_EQ-5D (점),서대문구_주관적 건강수준인지율 (%),서대문구_흡연율 (%),서대문구_음주율 (%),서대문구_고위험음주율 (%),서대문구_미충족의료율 (%),서대문구_인플루엔자 예방접종률 (%),서대문구_건강생활실천율 (%),서대문구_비만유병률 (%),서대문구_학급당 학생수 (명),서대문구_초등학교 교원수 (명),서대문구_초등학교 학생수 (명),서대문구_초등학교 수 (개),서대문구_유치원 교원수 (명),서대문구_유치원 원아수 (명),서대문구_유치원 수 (개),서대문구_도시지역면적 (㎡),서대문구_주택수 (호),서대문구_토지거래면적,서대문구_종사자수 (명),서대문구_친환경인증 농산물 출하량 (톤),서대문구_가구수 (가구),서대문구_서비스업 사업체수 (개),서대문구_도소매업 종사자수 (명),서대문구_도소매업 사업체수 (개),서대문구_운수업 종사자수 (명),서대문구_운수업 사업체수 (개),서대문구_제조업 종사자수 (명),서대문구_제조업 사업체수 (개),서대문구_사업체수 (개),서대문구_서비스업 사업체수(등록기반) (개),서대문구_도소매업 종사자수(등록기반) (명),서대문구_도소매업 사업체수(등록기반) (개),서대문구_운수업 종사자수(등록기반) (명),서대문구_운수업 사업체수(등록기반) (개),서대문구_제조업 종사자수(등록기반) (명),서대문구_제조업 사업체수(등록기반) (개),서대문구_사업체수(등록기반) (개),서대문구_화재발생건수 (건),서대문구_하수도보급률 (%),서대문구_폐수배출업소수 (개),서대문구_인구십만명당 자살률 (십만명당),서대문구_등록장애인수 (명)
2014,310376,-4729,49817,45088,1405,-,-,2334,-,0.954,10485,538,-,1732,5.7,1.8,27.5,0.939,45.3,22,62.3,14.1,-,34.2,37.7,-,25.94,914,13645,18,208,2563,26,17600000,-,423,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,212,100,51,19.6,-
2015,312141,564,55165,55729,1516,308768,41,2175,308768,0.913,10964,528,7757,1722,5.6,1.7,32.9,0.949,49.7,22.9,65.7,20.2,-,36.9,33,-,25.08,881,13171,18,204,2571,26,17600000,92885,672,-,-,125149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,215,100,51,22.6,-
2016,314194,916,54236,55152,1514,320258,40.9,2201,320258,0.934,11677,532,8146,1660,5.4,1.7,26.3,0.959,54.3,19.5,60.4,17.3,-,36.4,42.9,-,23.87,941,13331,19,220,2748,27,17600000,92788,643,-,-,130954,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,227,100,50,24.1,-
2017,312800,-1752,50286,48534,1507,321345,41.3,1911,321345,0.823,12228,485,7717,1546,5,1.6,26.5,0.969,52.7,22.9,62.9,19,-,33.8,42.3,-,23.58,904,13193,19,220,2649,27,17685973,94398,626,111117,0.4,131721,14641,14505,4071,6195,2881,2721,754,19852,-,-,-,-,-,-,-,-,232,100,51,18.6,-
2018,310313,-2623,48484,45861,1669,318874,41.6,1647,318874,0.727,12767,526,7093,1393,4.6,1.7,25.8,0.972,52.5,21.1,58.4,19.9,-,37.3,58,30.1,23.23,910,13027,19,214,2614,27,17685845,94884,601,109490,-,132305,14670,14045,4025,5835,2903,2494,686,19796,-,-,-,-,-,-,-,-,229,100,45,24.6,-
2019,309397,-948,46677,45729,1555,319394,41.9,1521,319394,0.685,13774,473,6836,1440,4.8,1.6,28.5,0.955,46.9,18.3,60.5,19.4,3,39.1,38,31.4,22.67,890,12993,19,210,2439,25,17685845,97616,524,113819,-,134437,14900,13468,4127,5480,2981,2537,666,20095,-,-,-,-,-,-,-,-,269,100,42,26.1,12612
2020,312173,2925,53579,56504,1676,317209,42.4,1533,317209,0.685,10779,444,6939,1260,4.1,1.5,20.8,-,65.3,16.2,52.7,10.3,2.6,44.8,48.9,-,22.55,906,12988,19,197,2371,23,17685845,101036,581,-,-,138528,-,-,-,-,-,-,-,-,21442,16147,7075,5934,3339,3000,1090,28769,220,100,12,24.3,12551
2021,304819,-4577,47061,42484,1728,314547,42.7,1426,314547,0.635,10840,429,6093,1042,3.4,1.4,28.2,-,52,17.5,48.1,11.8,4.9,45.5,38.3,-,22.39,900,12940,19,200,2257,23,17685845,102024,496,-,-,140409,-,-,-,-,-,-,-,-,21135,16293,6936,5616,3414,2815,1074,28522,262,100,46,26.1,12311
2022,306337,3574,39904,43478,2051,318308,42.9,1363,318308,0.607,13217,387,5626,1051,3.5,1.3,25.5,-,45.1,18.1,56.4,11.2,8.9,39.3,42.7,-,22.07,912,12918,19,203,2227,23,17685845,105047,172,-,-,143327,-,-,-,-,-,-,-,-,20753,14722,6674,5877,3775,2567,1029,28427,223,100,-,23.2,12281
2023,306231,445,39256,39701,-,-,-,-,-,-,-,374,-,1130,3.7,1.2,30.2,-,45.2,17.1,62.9,12.5,11.7,42.9,48.3,-,22.05,907,12865,19,199,2072,21,-,-,194,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,209,-,-,-,12152
