,서초구_주민등록인구 (명),서초구_순이동인구 (명),서초구_전출인구 (명),서초구_전입인구 (명),서초구_사망자수 (명),서초구_인구총조사 인구,서초구_평균연령,서초구_출생아수 (명),서초구_인구총조사 인구,서초구_합계출산율,서초구_등록외국인 현황 (명),서초구_이혼건수 (건),서초구_신혼부부수 (쌍),서초구_혼인건수 (건),서초구_조혼인율,서초구_조이혼율,서초구_스트레스인지율 (%),서초구_EQ-5D (점),서초구_주관적 건강수준인지율 (%),서초구_흡연율 (%),서초구_음주율 (%),서초구_고위험음주율 (%),서초구_미충족의료율 (%),서초구_인플루엔자 예방접종률 (%),서초구_건강생활실천율 (%),서초구_비만유병률 (%),서초구_학급당 학생수 (명),서초구_초등학교 교원수 (명),서초구_초등학교 학생수 (명),서초구_초등학교 수 (개),서초구_유치원 교원수 (명),서초구_유치원 원아수 (명),서초구_유치원 수 (개),서초구_도시지역면적 (㎡),서초구_주택수 (호),서초구_토지거래면적,서초구_친환경인증 축산물 출하량 (톤),서초구_종사자수 (명),서초구_친환경인증 농산물 출하량 (톤),서초구_가구수 (가구),서초구_서비스업 사업체수 (개),서초구_도소매업 종사자수 (명),서초구_도소매업 사업체수 (개),서초구_운수업 종사자수 (명),서초구_운수업 사업체수 (개),서초구_제조업 종사자수 (명),서초구_제조업 사업체수 (개),서초구_사업체수 (개),서초구_서비스업 사업체수(등록기반) (개),서초구_도소매업 종사자수(등록기반) (명),서초구_도소매업 사업체수(등록기반) (개),서초구_운수업 종사자수(등록기반) (명),서초구_운수업 사업체수(등록기반) (개),서초구_제조업 종사자수(등록기반) (명),서초구_제조업 사업체수(등록기반) (개),서초구_사업체수(등록기반) (개),서초구_화재발생건수 (건),서초구_하수도보급률 (%),서초구_폐수배출업소수 (개),서초구_인구십만명당 자살률 (십만명당),서초구_등록장애인수 (명)
2014,449678,4811,74512,79323,1404,-,-,4135,-,1.014,4610,626,-,2871,6.5,1.4,27.7,0.952,49,15.4,62.4,10.3,-,39.4,43.9,-,29.57,1290,22144,24,192,2652,25,47138000,-,1219,-,-,34.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,331,100,165,15.3,-
2015,446764,-6777,83320,76543,1396,420804,39.1,4078,420804,1.012,4494,597,12891,2846,6.4,1.4,33.9,0.961,51.4,17.6,65.1,16.1,-,35.1,42,-,28.83,1289,22817,24,226,3097,28,47138000,125403,2240,-,-,6,156703,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,303,100,165,15.2,-
2016,447192,-3183,74319,71136,1480,419682,39.6,3629,419682,0.928,4285,565,12356,2676,6.1,1.3,31.1,0.954,50.3,18.6,65.7,14.9,-,33.3,40.8,-,27.98,1323,22595,24,217,3044,27,46899887,129491,2083,-,-,7,157437,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,286,100,167,17.3,-
2017,441102,-7894,76574,68680,1446,414550,40.1,3039,414550,0.799,4299,561,11202,2288,5.2,1.3,29.3,0.951,52.4,16.2,62.4,11.6,-,38.4,46.5,-,27.43,1343,22939,24,238,3122,28,46899887,128977,1981,-,436763,8.5,157978,39489,68309,12253,8717,1390,5666,1064,46207,-,-,-,-,-,-,-,-,242,100,172,14.9,-
2018,433951,-8831,83489,74658,1435,409491,40.5,2919,409491,0.8,4212,587,10230,2234,5.2,1.4,34.1,0.961,54.6,16.3,62.8,13.2,-,41.3,49.3,25,26.46,1369,23182,24,231,2916,28,46899887,132040,1658,-,438733,8,157716,39728,67696,12079,9020,1566,5431,1075,46540,-,-,-,-,-,-,-,-,242,100,167,17,-
2019,430826,-4299,67634,63335,1421,404960,40.9,2512,404960,0.715,4281,615,9637,2084,4.9,1.5,28.3,0.958,61.7,13.3,57.4,12.7,2.6,41.9,45,25,25.6,1367,23064,24,223,2655,27,46899887,131777,1343,-,438985,13.8,157635,40102,66616,11890,10027,1611,6093,1068,46940,-,-,-,-,-,-,-,-,242,100,160,15.3,10556
2020,425126,-6419,77669,71250,1433,401749,41.3,2238,401749,0.656,3899,533,8693,1861,4.4,1.3,29.2,-,69,13.1,56.5,10.9,4.5,47.7,39.3,-,25.07,1324,22668,24,219,2467,26,46899887,133528,2511,15.6,-,5.98,158582,-,-,-,-,-,-,-,-,61817,79806,19615,14683,4510,7125,1710,75858,240,100,157,18.1,10542
2021,412279,-11713,81777,70064,1541,392302,41.8,2163,392302,0.666,3888,508,7835,1469,3.6,1.2,27.7,-,58.8,13.7,54.6,9.9,4,48.9,45.4,-,25.34,1330,22345,24,224,2321,26,46899887,135171,3693,32.83,-,0.95,158408,-,-,-,-,-,-,-,-,58307,72744,18027,12744,4352,6964,1678,71958,231,100,150,18.5,10291
2022,404325,-6066,57143,51077,1797,383181,42.5,1864,383181,0.599,4126,445,6866,1306,3.2,1.1,27.6,-,53.6,13.6,60.6,12.1,3,46.9,52.4,-,25.2,1369,21867,24,216,2155,24,46899888,132706,3643,74.72,-,5.21,156869,-,-,-,-,-,-,-,-,56361,68424,17100,12646,4347,6712,1614,69975,216,100,-,17.1,10158
2023,407664,3179,58610,61789,-,-,-,-,-,-,-,433,-,1425,3.5,1.1,24.9,-,57.6,12.7,61.5,8.8,2.2,51.8,53.8,-,24.93,1363,20641,24,207,1932,24,-,-,477,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,239,-,-,-,10159
