,성동구_주민등록인구 (명),성동구_순이동인구 (명),성동구_전출인구 (명),성동구_전입인구 (명),성동구_사망자수 (명),성동구_인구총조사 인구,성동구_평균연령,성동구_출생아수 (명),성동구_인구총조사 인구,성동구_합계출산율,성동구_등록외국인 현황 (명),성동구_이혼건수 (건),성동구_신혼부부수 (쌍),성동구_혼인건수 (건),성동구_조혼인율,성동구_조이혼율,성동구_스트레스인지율 (%),성동구_EQ-5D (점),성동구_주관적 건강수준인지율 (%),성동구_흡연율 (%),성동구_음주율 (%),성동구_고위험음주율 (%),성동구_미충족의료율 (%),성동구_인플루엔자 예방접종률 (%),성동구_건강생활실천율 (%),성동구_비만유병률 (%),성동구_학급당 학생수 (명),성동구_초등학교 교원수 (명),성동구_초등학교 학생수 (명),성동구_초등학교 수 (개),성동구_유치원 교원수 (명),성동구_유치원 원아수 (명),성동구_유치원 수 (개),성동구_도시지역면적 (㎡),성동구_주택수 (호),성동구_토지거래면적,성동구_종사자수 (명),성동구_친환경인증 농산물 출하량 (톤),성동구_가구수 (가구),성동구_서비스업 사업체수 (개),성동구_도소매업 종사자수 (명),성동구_도소매업 사업체수 (개),성동구_운수업 종사자수 (명),성동구_운수업 사업체수 (개),성동구_제조업 종사자수 (명),성동구_제조업 사업체수 (개),성동구_사업체수 (개),성동구_서비스업 사업체수(등록기반) (개),성동구_도소매업 종사자수(등록기반) (명),성동구_도소매업 사업체수(등록기반) (개),성동구_운수업 종사자수(등록기반) (명),성동구_운수업 사업체수(등록기반) (개),성동구_제조업 종사자수(등록기반) (명),성동구_제조업 사업체수(등록기반) (개),성동구_사업체수(등록기반) (개),성동구_화재발생건수 (건),성동구_하수도보급률 (%),성동구_폐수배출업소수 (개),성동구_인구십만명당 자살률 (십만명당),성동구_등록장애인수 (명)
2014,296086,-4828,51349,46521,1265,-,-,2654,-,1.027,7805,596,-,2125,7.3,2,30.4,0.945,45.7,24.9,66.1,17.4,-,39,40,-,25.19,946,13174,20,195,2623,30,16839500,-,460,-,7.3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,204,100,332,20.5,-
2015,297003,-986,49091,48105,1244,295006,40.6,2753,295006,1.095,8062,563,9864,2083,7.1,1.9,29.4,0.962,48.7,19.3,64.7,15.1,-,34,41.6,-,24.27,939,12641,20,186,2548,31,16839500,82331,620,-,6,118900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,100,332,26.4,-
2016,299259,643,46986,47629,1304,294744,40.9,2531,294744,1.013,7902,547,9678,1944,6.6,1.9,29.8,0.94,42.9,20.9,63.7,15.8,-,37.5,44.3,-,23.25,963,12352,21,198,2584,31,16839500,80977,637,-,-,120625,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,182,100,324,23.9,-
2017,304808,4385,46031,50416,1399,302367,41.2,2462,302367,0.972,7903,509,10033,2096,7.1,1.7,30.9,0.948,50.1,20.4,67.5,17.7,-,37.4,43.1,-,22.57,954,12047,21,201,2638,31,16804426,86650,611,167308,-,125421,18352,32412,7250,8295,2683,28130,4612,27278,-,-,-,-,-,-,-,-,197,100,327,22.6,-
2018,308221,2346,49012,51358,1383,306796,41.5,2346,306796,0.909,8242,550,10040,2000,6.6,1.8,31.3,0.953,40.2,20.4,67.5,18.3,-,41,52,32,21.63,972,11922,21,206,2608,31,16804426,87830,578,174819,-,128602,19100,31602,7385,8653,2629,27062,4444,27868,-,-,-,-,-,-,-,-,212,100,287,20.3,-
2019,300889,-8180,48102,39922,1369,299688,42,2191,299688,0.855,8090,528,9344,1758,5.9,1.8,32.6,0.945,39.9,20.2,63.2,17.9,6.1,37,43.8,30.7,20.88,936,11789,21,186,2264,30,16804270,91037,500,178243,1.44,127557,19689,33180,7457,8814,2781,26041,4181,28343,-,-,-,-,-,-,-,-,194,100,270,19.1,11686
2020,293556,-7943,53096,45153,1363,291918,42.5,1945,291918,0.783,6949,502,8566,1573,5.4,1.7,31.8,-,65.3,18.7,60.3,15.8,5.2,46.2,39.2,-,19.87,919,10992,21,175,2110,28,16804270,91329,558,-,1.7,126658,-,-,-,-,-,-,-,-,29936,38787,11853,8869,2825,26202,5549,41582,187,100,257,24,11412
2021,285990,-6244,46075,39831,1420,286469,43,1833,286469,0.764,6682,454,7595,1272,4.5,1.6,30.5,-,52.6,15.2,54.9,9.3,3.5,49.7,40.8,-,19.86,897,10555,21,169,1978,29,16804270,91033,354,-,-,127440,-,-,-,-,-,-,-,-,29938,41485,11731,9462,2994,25990,5397,41665,191,100,248,21.7,11284
2022,281000,-4015,38153,34138,1676,282131,43.4,1690,282131,0.723,7234,344,6724,1179,4.2,1.2,27.2,-,54.4,12.5,58.4,12.7,2.9,42.1,55.4,-,19.81,873,10408,21,180,1865,28,16804270,90740,348,-,-,127790,-,-,-,-,-,-,-,-,29645,40745,11205,8638,3114,25163,5262,41306,215,100,-,26,11092
2023,277361,-3685,38474,34789,-,-,-,-,-,-,-,340,-,1280,4.6,1.2,27.3,-,58.4,15.2,58.7,12.7,2.8,48.1,48.3,-,19.35,873,10101,21,187,1665,28,-,-,334,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,-,10915
