,송파구_주민등록인구 (명),송파구_순이동인구 (명),송파구_전출인구 (명),송파구_전입인구 (명),송파구_사망자수 (명),송파구_인구총조사 인구,송파구_평균연령,송파구_출생아수 (명),송파구_인구총조사 인구,송파구_합계출산율,송파구_등록외국인 현황 (명),송파구_이혼건수 (건),송파구_신혼부부수 (쌍),송파구_혼인건수 (건),송파구_조혼인율,송파구_조이혼율,송파구_스트레스인지율 (%),송파구_EQ-5D (점),송파구_주관적 건강수준인지율 (%),송파구_흡연율 (%),송파구_음주율 (%),송파구_고위험음주율 (%),송파구_미충족의료율 (%),송파구_인플루엔자 예방접종률 (%),송파구_건강생활실천율 (%),송파구_비만유병률 (%),송파구_학급당 학생수 (명),송파구_초등학교 교원수 (명),송파구_초등학교 학생수 (명),송파구_초등학교 수 (개),송파구_유치원 교원수 (명),송파구_유치원 원아수 (명),송파구_유치원 수 (개),송파구_도시지역면적 (㎡),송파구_주택수 (호),송파구_토지거래면적,송파구_종사자수 (명),송파구_친환경인증 농산물 출하량 (톤),송파구_가구수 (가구),송파구_서비스업 사업체수 (개),송파구_도소매업 종사자수 (명),송파구_도소매업 사업체수 (개),송파구_운수업 종사자수 (명),송파구_운수업 사업체수 (개),송파구_제조업 종사자수 (명),송파구_제조업 사업체수 (개),송파구_사업체수 (개),송파구_서비스업 사업체수(등록기반) (개),송파구_도소매업 종사자수(등록기반) (명),송파구_도소매업 사업체수(등록기반) (개),송파구_운수업 종사자수(등록기반) (명),송파구_운수업 사업체수(등록기반) (개),송파구_제조업 종사자수(등록기반) (명),송파구_제조업 사업체수(등록기반) (개),송파구_사업체수(등록기반) (개),송파구_화재발생건수 (건),송파구_하수도보급률 (%),송파구_폐수배출업소수 (개),송파구_인구십만명당 자살률 (십만명당),송파구_등록장애인수 (명)
2014,664738,-7767,107490,99723,2180,-,-,6001,-,0.996,7056,1121,-,4480,6.8,1.7,29.3,0.937,47.9,20.8,65.2,10.9,-,38.7,45.5,-,28.08,2068,33028,38,413,6063,53,33890000,-,811,-,69.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,302,100,182,20.2,-
2015,660302,-9352,111346,101994,2127,634941,39.5,5899,634941,1.008,7178,1069,19698,4386,6.7,1.6,29,0.953,50.6,16.9,68.4,16.3,-,38.3,48,-,27.03,2085,32093,38,444,6027,54,33858375,187030,948,-,121,235101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278,100,182,19.6,-
2016,657831,-7000,112735,105735,2174,628212,40,5500,628212,0.958,7115,1039,19125,4102,6.3,1.6,29,0.956,53.4,18.2,66.8,14.3,-,36.5,48,-,25.93,2106,31048,39,473,6073,54,33858375,191349,1162,-,44,234836,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,325,100,187,19.4,-
2017,664496,3718,107154,110872,2239,633953,40.4,4976,633953,0.871,6677,1041,19226,3896,6,1.6,25,0.954,59.6,18.3,68.6,14.6,-,41,57.3,-,25.34,2103,31191,39,498,6261,56,33858375,196672,1513,329447,0.2,241411,35664,58913,13728,15124,5746,8803,1487,46676,-,-,-,-,-,-,-,-,318,100,194,19.8,-
2018,666635,-426,101486,101060,2334,638167,40.9,4567,638167,0.8,6872,1010,18674,3705,5.6,1.5,16.1,0.968,63.2,16.1,66.4,12.5,-,40.5,65,22.5,24.43,2133,31368,39,501,6074,56,33858375,199739,2641,342853,7.3,247410,36487,60790,13666,15955,5915,9200,1520,47772,-,-,-,-,-,-,-,-,340,100,138,15.8,-
2019,675961,6972,116301,123273,2278,648600,41.3,4424,648600,0.77,6780,1060,18169,3651,5.5,1.6,23.5,0.949,47.3,15.4,69.5,17.6,6.3,38.8,53.8,27.4,23.13,2195,32208,40,452,5348,51,33857302,208692,4157,341201,22.15,256160,37468,63804,13699,14813,5836,9324,1534,48644,-,-,-,-,-,-,-,-,335,100,148,19,20280
2020,667960,-9529,116457,106928,2300,643288,41.8,3791,643288,0.665,5966,1070,16472,3220,4.9,1.6,25.9,-,61.3,14.3,60,10.8,3,45.1,44.3,-,22.91,2173,31373,40,474,5355,50,33857302,211578,1085,-,16.87,259785,-,-,-,-,-,-,-,-,59142,82496,24258,17969,7370,10843,2483,76412,307,100,130,20.4,20286
2021,658338,-8470,113651,105181,2579,634720,42.4,3469,634720,0.623,5627,923,14829,2574,3.9,1.4,29,-,52.5,15.3,60.7,14,6.3,50.2,43.9,-,23.08,2161,31235,40,455,5073,49,33857302,215731,1355,-,16.93,263270,-,-,-,-,-,-,-,-,57034,82988,22908,17149,7834,10045,2447,74531,263,100,123,17.4,20356
2022,658801,2126,86137,88263,3014,635758,42.9,3284,635758,0.598,5713,841,13696,2555,3.9,1.3,27.6,-,54.7,17,62.5,11.7,5.2,43.8,52.3,-,22.67,2210,31536,41,486,5104,48,33857302,220192,769,-,7.31,267302,-,-,-,-,-,-,-,-,56288,79672,22138,18842,8881,10119,2356,74738,350,100,-,17.8,20504
2023,654166,-4918,88772,83854,-,-,-,-,-,-,-,758,-,2513,3.9,1.2,31,-,57,15.4,62.9,13.2,4.4,45.4,54,-,22.48,2214,30806,41,492,4839,46,-,-,675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,382,-,-,-,20397
