,용산구_주민등록인구 (명),용산구_순이동인구 (명),용산구_전출인구 (명),용산구_전입인구 (명),용산구_사망자수 (명),용산구_인구총조사 인구,용산구_평균연령,용산구_출생아수 (명),용산구_인구총조사 인구,용산구_합계출산율,용산구_등록외국인 현황 (명),용산구_이혼건수 (건),용산구_신혼부부수 (쌍),용산구_혼인건수 (건),용산구_조혼인율,용산구_조이혼율,용산구_스트레스인지율 (%),용산구_EQ-5D (점),용산구_주관적 건강수준인지율 (%),용산구_흡연율 (%),용산구_음주율 (%),용산구_고위험음주율 (%),용산구_미충족의료율 (%),용산구_인플루엔자 예방접종률 (%),용산구_건강생활실천율 (%),용산구_비만유병률 (%),용산구_학급당 학생수 (명),용산구_초등학교 교원수 (명),용산구_초등학교 학생수 (명),용산구_초등학교 수 (개),용산구_유치원 교원수 (명),용산구_유치원 원아수 (명),용산구_유치원 수 (개),용산구_도시지역면적 (㎡),용산구_주택수 (호),용산구_토지거래면적,용산구_종사자수 (명),용산구_친환경인증 농산물 출하량 (톤),용산구_가구수 (가구),용산구_서비스업 사업체수 (개),용산구_도소매업 종사자수 (명),용산구_도소매업 사업체수 (개),용산구_운수업 종사자수 (명),용산구_운수업 사업체수 (개),용산구_제조업 종사자수 (명),용산구_제조업 사업체수 (개),용산구_사업체수 (개),용산구_서비스업 사업체수(등록기반) (개),용산구_도소매업 종사자수(등록기반) (명),용산구_도소매업 사업체수(등록기반) (개),용산구_운수업 종사자수(등록기반) (명),용산구_운수업 사업체수(등록기반) (개),용산구_제조업 종사자수(등록기반) (명),용산구_제조업 사업체수(등록기반) (개),용산구_사업체수(등록기반) (개),용산구_화재발생건수 (건),용산구_하수도보급률 (%),용산구_폐수배출업소수 (개),용산구_인구십만명당 자살률 (십만명당),용산구_등록장애인수 (명)
2014,235951,-5017,40635,35618,1120,-,-,1976,-,0.978,13963,471,-,1560,6.8,2.1,26.9,0.956,53.5,22.2,60.9,18,-,29.3,45,-,25.45,615,8529,15,124,1761,17,21870000,-,440,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,208,100,63,30.6,-
2015,233342,-4297,41361,37064,1113,227282,41.6,1967,227282,1.005,14567,424,6817,1515,6.7,1.9,27.8,0.958,56.8,23.2,60.6,21.3,-,34.7,44.7,-,24.66,612,8210,15,135,1753,17,21870000,70723,387,-,8,96385,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,187,100,63,23.5,-
2016,230241,-4491,38615,34124,1137,224993,41.9,1708,224993,0.907,14861,441,6527,1366,6.2,2,30.1,0.962,55.1,21.6,58.3,19.1,-,34,36.9,-,23.94,604,7923,15,138,1779,17,21870000,70868,601,-,4,96097,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,197,100,55,23.9,-
2017,229161,-1468,36622,35154,1150,223898,42.2,1464,223898,0.793,15283,389,6171,1357,6.2,1.8,21.8,0.959,55.5,21.6,58.8,15.8,-,45.5,42.8,-,23.24,581,7624,15,141,1672,17,21898766,71356,957,133260,5.6,96975,17042,27506,7258,3919,1367,3446,1054,20806,-,-,-,-,-,-,-,-,167,100,57,23.7,-
2018,228999,-462,37801,37339,1203,226938,42.3,1377,226938,0.747,16091,391,6124,1400,6.4,1.8,20,0.969,55.1,18.8,61.3,15.4,-,36,54.4,21.8,22.28,578,7460,15,136,1574,17,21870000,71680,487,141216,1.6,98580,17286,31093,7248,3918,1251,3181,964,20813,-,-,-,-,-,-,-,-,211,100,43,23.3,-
2019,228670,-574,35673,35099,1107,227181,42.5,1314,227181,0.713,16515,372,5811,1303,6,1.7,16.3,0.974,59.9,12.1,59.1,15.7,0.9,32.7,54.7,25.4,21.43,580,7273,15,115,1407,13,21870000,72463,410,135240,4.17,99777,16878,31996,6842,3951,1205,2955,905,20254,-,-,-,-,-,-,-,-,238,100,50,18.3,8025
2020,230040,1297,38985,40282,1145,225882,43,1176,225882,0.634,14605,359,5562,1175,5.4,1.6,24.1,-,71.6,19.4,48.1,18.7,1.7,38.9,46.8,-,20.54,568,6870,15,115,1344,13,21870000,74542,1124,-,22.59,101431,-,-,-,-,-,-,-,-,26301,38471,11185,4569,1692,3827,1436,31507,192,100,53,22.8,7960
2021,222953,-3561,39572,36011,1265,221688,43.4,1234,221688,0.664,14332,352,5353,995,4.6,1.6,26.5,-,54.6,17.6,56.3,15.1,3,46.8,40.5,-,20.18,585,6656,15,119,1351,13,21870000,75739,570,-,13.28,102638,-,-,-,-,-,-,-,-,24414,37238,10038,4533,1739,3508,1371,29680,176,100,48,26.6,7686
2022,218650,-1279,32325,31046,1361,219289,43.8,1110,219289,0.596,14634,300,4967,948,4.4,1.4,17.9,-,62.7,15.1,56.6,10.9,1.9,41.5,53.8,-,19.25,574,6396,15,126,1288,13,21870000,77116,278,-,0.02,103974,-,-,-,-,-,-,-,-,22910,35126,9074,4513,1754,3247,1297,28047,207,100,-,18.5,7621
2023,213151,-5231,33660,28429,-,-,-,-,-,-,-,312,-,1002,4.7,1.5,24.7,-,58.9,18.4,62.2,14.8,3.9,46.7,53.9,-,18.9,561,6148,15,129,1266,13,-,-,217,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,219,-,-,-,7302
