,중구_주민등록인구 (명),중구_순이동인구 (명),중구_전출인구 (명),중구_전입인구 (명),중구_사망자수 (명),중구_인구총조사 인구,중구_평균연령,중구_출생아수 (명),중구_인구총조사 인구,중구_합계출산율,중구_등록외국인 현황 (명),중구_이혼건수 (건),중구_신혼부부수 (쌍),중구_혼인건수 (건),중구_조혼인율,중구_조이혼율,중구_스트레스인지율 (%),중구_EQ-5D (점),중구_주관적 건강수준인지율 (%),중구_흡연율 (%),중구_음주율 (%),중구_고위험음주율 (%),중구_미충족의료율 (%),중구_인플루엔자 예방접종률 (%),중구_건강생활실천율 (%),중구_비만유병률 (%),중구_학급당 학생수 (명),중구_초등학교 교원수 (명),중구_초등학교 학생수 (명),중구_초등학교 수 (개),중구_유치원 교원수 (명),중구_유치원 원아수 (명),중구_유치원 수 (개),중구_도시지역면적 (㎡),중구_주택수 (호),중구_토지거래면적,중구_종사자수 (명),중구_친환경인증 농산물 출하량 (톤),중구_가구수 (가구),중구_서비스업 사업체수 (개),중구_도소매업 종사자수 (명),중구_도소매업 사업체수 (개),중구_운수업 종사자수 (명),중구_운수업 사업체수 (개),중구_제조업 종사자수 (명),중구_제조업 사업체수 (개),중구_사업체수 (개),중구_서비스업 사업체수(등록기반) (개),중구_도소매업 종사자수(등록기반) (명),중구_도소매업 사업체수(등록기반) (개),중구_운수업 종사자수(등록기반) (명),중구_운수업 사업체수(등록기반) (개),중구_제조업 종사자수(등록기반) (명),중구_제조업 사업체수(등록기반) (개),중구_사업체수(등록기반) (개),중구_화재발생건수 (건),중구_하수도보급률 (%),중구_폐수배출업소수 (개),중구_인구십만명당 자살률 (십만명당),중구_등록장애인수 (명)
2014,128065,-2867,22972,20105,683,-,-,1041,-,1.004,8162,288,-,851,6.8,2.3,33.3,0.936,44.9,22.7,63.8,16.5,-,35,46.2,-,24.85,417,5854,12,103,1193,13,9970000,-,256,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,233,100,551,31.9,-
2015,125733,-2872,22950,20078,689,128478,42.4,950,128478,0.946,8596,267,3652,916,7.5,2.2,31.8,0.952,44,24.5,63.4,18.2,-,31,40.7,-,24.43,412,5739,12,98,1204,13,9970000,37478,240,-,2,55508,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,237,100,551,25.2,-
2016,125249,-1060,21655,20595,669,128160,42.4,959,128160,0.974,9160,249,3545,799,6.6,2.1,29.8,0.948,47.3,23.3,62.9,19.4,-,34.6,36.8,-,23.45,405,5474,12,97,1176,13,9970000,38311,369,-,2,55554,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,210,100,433,28.1,-
2017,125709,330,20574,20904,684,127896,42.8,808,127896,0.824,8884,253,3491,792,6.5,2.1,26.2,0.958,50.9,20.8,58.7,15.1,-,32.9,49.1,-,22.47,398,5283,12,97,1172,14,9974292,39512,269,386648,-,56239,48701,97809,32867,14172,1484,30475,9947,62936,-,-,-,-,-,-,-,-,198,100,484,22.3,-
2018,125725,-102,20873,20771,710,129797,43,733,129797,0.737,9908,259,3513,778,6.4,2.1,28.3,0.956,42.4,25,64.5,18.4,-,33.5,50.3,30.4,21.9,398,5226,12,100,1123,14,9974292,40177,278,390530,3.7,57318,47311,98606,31547,14316,1547,29402,9369,60957,-,-,-,-,-,-,-,-,275,100,367,19.8,-
2019,126171,239,19384,19623,665,130957,43.4,783,130957,0.78,10317,230,3326,722,5.9,1.9,22.8,0.96,52.8,18,58,17.7,2.7,36.1,49.9,28.6,21.16,401,5181,12,98,1122,14,9974292,41754,288,392568,1.34,59440,46798,95562,30681,13924,1495,28901,9018,60127,-,-,-,-,-,-,-,-,213,100,329,20.5,5712
2020,125240,-956,21733,20777,723,128744,44,690,128744,0.688,9395,260,3187,653,5.4,2.1,29.7,-,69.2,17.1,43.1,9.7,3,44.6,35.9,-,20.45,393,4990,12,97,1038,14,9974292,42234,362,-,7.87,59817,-,-,-,-,-,-,-,-,57776,95063,36793,15314,2440,27817,10886,76129,185,100,316,16.5,5700
2021,122499,-1209,21126,19917,806,126310,44.6,627,126310,0.634,9288,233,2877,590,4.9,1.9,26.8,-,59.7,17.1,52.2,7.5,3.2,50.9,43.7,-,20.23,382,4808,12,94,1002,14,9974292,42319,292,-,9.87,61073,-,-,-,-,-,-,-,-,52875,80600,32947,14337,2325,25587,10469,70308,171,100,316,21.6,5634
2022,120437,-727,17465,16738,851,125257,45,587,125257,0.606,10348,204,2582,511,4.3,1.7,25.6,-,62.1,17.2,59.1,11,3.6,48.1,47.3,-,19.43,381,4766,12,91,937,14,9969740,42401,214,-,7.58,61620,-,-,-,-,-,-,-,-,50856,79717,31337,13177,2319,25402,10357,68143,190,100,-,25.2,5537
2023,121312,1226,17634,18860,-,-,-,-,-,-,-,197,-,595,5,1.7,21.9,-,63.6,20,59.4,11.1,2.3,48.7,51.3,-,19.21,383,4728,12,90,897,13,-,-,196,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,137,-,-,-,5461
