,중랑구_주민등록인구 (명),중랑구_순이동인구 (명),중랑구_전출인구 (명),중랑구_전입인구 (명),중랑구_사망자수 (명),중랑구_인구총조사 인구,중랑구_평균연령,중랑구_출생아수 (명),중랑구_인구총조사 인구,중랑구_합계출산율,중랑구_등록외국인 현황 (명),중랑구_이혼건수 (건),중랑구_신혼부부수 (쌍),중랑구_혼인건수 (건),중랑구_조혼인율,중랑구_조이혼율,중랑구_스트레스인지율 (%),중랑구_EQ-5D (점),중랑구_주관적 건강수준인지율 (%),중랑구_흡연율 (%),중랑구_음주율 (%),중랑구_고위험음주율 (%),중랑구_미충족의료율 (%),중랑구_인플루엔자 예방접종률 (%),중랑구_건강생활실천율 (%),중랑구_비만유병률 (%),중랑구_학급당 학생수 (명),중랑구_초등학교 교원수 (명),중랑구_초등학교 학생수 (명),중랑구_초등학교 수 (개),중랑구_유치원 교원수 (명),중랑구_유치원 원아수 (명),중랑구_유치원 수 (개),중랑구_도시지역면적 (㎡),중랑구_주택수 (호),중랑구_토지거래면적,중랑구_친환경인증 축산물 출하량 (톤),중랑구_종사자수 (명),중랑구_친환경인증 농산물 출하량 (톤),중랑구_가구수 (가구),중랑구_서비스업 사업체수 (개),중랑구_도소매업 종사자수 (명),중랑구_도소매업 사업체수 (개),중랑구_운수업 종사자수 (명),중랑구_운수업 사업체수 (개),중랑구_제조업 종사자수 (명),중랑구_제조업 사업체수 (개),중랑구_사업체수 (개),중랑구_서비스업 사업체수(등록기반) (개),중랑구_도소매업 종사자수(등록기반) (명),중랑구_도소매업 사업체수(등록기반) (개),중랑구_운수업 종사자수(등록기반) (명),중랑구_운수업 사업체수(등록기반) (개),중랑구_제조업 종사자수(등록기반) (명),중랑구_제조업 사업체수(등록기반) (개),중랑구_사업체수(등록기반) (개),중랑구_화재발생건수 (건),중랑구_하수도보급률 (%),중랑구_폐수배출업소수 (개),중랑구_인구십만명당 자살률 (십만명당),중랑구_등록장애인수 (명)
2014,418836,660,68497,69157,1968,-,-,3288,-,1.006,4575,1105,-,2769,6.7,2.7,34.4,0.95,44.9,24,63.8,21.1,-,35.4,37.1,-,25.67,1141,16801,23,251,3231,32,18530000,-,592,-,-,15.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,193,100,86,35.7,-
2015,413909,-6646,71284,64638,2050,403237,41.5,3368,403237,1.051,4711,1028,12107,2716,6.6,2.5,32.8,0.95,43.7,22.3,64.3,18.5,-,33.7,41.4,-,24.89,1127,16472,23,258,3325,32,18530000,99265,774,-,-,44,160043,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,100,86,23.6,-
2016,411005,-4257,64823,60566,2013,399317,42.1,3085,399317,0.995,4672,933,11788,2591,6.4,2.3,33.1,0.954,41,22.5,65,20.1,-,32.9,38.6,-,24.14,1103,15779,23,270,3366,34,18530000,102387,662,-,-,-,159920,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,195,100,83,26.8,-
2017,408226,-3562,59947,56385,2068,396892,42.7,2744,396892,0.906,4554,956,11300,2302,5.7,2.4,31.8,0.95,42.5,24.1,66.8,22.4,-,36.6,38.4,-,23.43,1087,15419,23,272,3365,34,18531520,103740,658,-,102758,10,161432,16242,16124,5416,13473,6412,16259,3578,28045,-,-,-,-,-,-,-,-,196,100,81,26,-
2018,403209,-5448,59616,54168,2178,391668,43.4,2446,391668,0.825,4938,916,10654,2253,5.6,2.3,32.8,0.957,45.7,22.9,64,21.6,-,35.2,43.3,36.9,22.6,1070,15336,23,273,3192,33,18531520,105691,556,125,103016,2.7,162039,16271,16071,5296,13092,6550,15250,3384,28024,-,-,-,-,-,-,-,-,254,100,71,25.8,-
2019,397015,-6486,55932,49446,2049,386331,44,2244,386331,0.777,5009,960,9779,2031,5.2,2.4,26.8,0.954,40.2,20.9,60.7,18.1,7.9,40.7,45.1,36.3,21.86,1071,15176,23,255,2947,31,18531520,107997,542,103.32,103345,7.95,163422,16384,15505,5181,12496,6550,14695,3423,28228,-,-,-,-,-,-,-,-,210,100,72,29.2,20361
2020,394702,-1998,62212,60214,2245,385663,44.5,1873,385663,0.66,4860,863,9355,1850,4.7,2.2,35.1,-,54.6,20.2,59.5,16.6,7.7,49.2,39.3,-,21.12,1067,14554,23,251,2700,29,18531526,112364,537,102.5,-,1.8,167617,-,-,-,-,-,-,-,-,23399,18655,8958,10648,5498,14720,4244,38558,225,100,71,24.3,20394
2021,387350,-5090,57957,52867,2319,380307,45.2,1825,380307,0.65,4535,771,8908,1618,4.2,2,29.9,-,47.2,19.7,55.8,14.8,2.9,52.8,44.9,-,20.69,1042,13862,23,259,2658,32,18531526,114488,494,229.48,-,6.79,170021,-,-,-,-,-,-,-,-,23597,18663,9064,10899,5830,14055,4256,39310,213,100,69,22.2,20357
2022,385318,-160,45343,45183,2704,379127,45.6,1860,379127,0.659,4822,688,8685,1723,4.5,1.8,30.8,-,49.8,19.2,62.4,14.8,1.5,43.6,44.8,-,20.39,1059,13692,24,275,2708,33,18531526,118357,257,174.78,-,8.8,173424,-,-,-,-,-,-,-,-,23837,18560,9204,11235,6458,14456,4288,40320,188,100,-,21.9,20240
2023,382155,-2346,43728,41382,-,-,-,-,-,-,-,599,-,1595,4.2,1.6,28.8,-,45.8,23.3,60.3,14.7,5.7,44.1,44.5,-,20.78,1025,13366,24,274,2516,32,-,-,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175,-,-,-,20307
